,score,score,score,score
sample_mode,Dried,Dried,Fresh,Fresh
metric,r2,rmse,r2,rmse
model,,,,
MLR,0.36990769230769227,0.08693076923076923,-2.2301615384615383,0.16803076923076923
MTEN,0.37435384615384615,0.08678461538461539,-0.3944230769230769,0.11891538461538462
MTL,0.37435384615384615,0.08678461538461539,-0.3944230769230769,0.11891538461538462
PLS,0.3639,0.08761538461538462,-1.5978615384615382,0.14571538461538464
RF,0.4226923076923077,0.08363846153846154,0.024715384615384618,0.1027076923076923
